epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,3982.25,1.70468,1.58034,1.46448,0.23346,0.23529,0.16381,0.04928,2.82844,2.64293,2.40361,0.0007823,0.0007823,0.0007823
125,4013.99,1.65607,1.51694,1.44175,0.23346,0.23529,0.16381,0.04928,2.82844,2.64293,2.40361,0.0007724,0.0007724,0.0007724
126,4045.56,1.60693,1.50743,1.44655,0.25231,0.23529,0.19729,0.05625,2.80003,2.646,2.41555,0.0007625,0.0007625,0.0007625
127,4077.69,1.72725,1.59467,1.4851,0.22266,0.2584,0.1867,0.04894,2.82345,2.58928,2.45284,0.0007526,0.0007526,0.0007526
128,4107.35,1.70673,1.5827,1.46366,0.22266,0.2584,0.1867,0.04894,2.82345,2.58928,2.45284,0.0007427,0.0007427,0.0007427
129,4136.86,1.70021,1.56581,1.50712,0.23857,0.2549,0.1534,0.04586,2.79396,2.46529,2.42904,0.0007328,0.0007328,0.0007328
130,4165.81,1.72411,1.60566,1.50505,0.23857,0.2549,0.1534,0.04586,2.79396,2.46529,2.42904,0.0007229,0.0007229,0.0007229
131,4194.03,1.65253,1.5261,1.46961,0.27,0.2549,0.15472,0.04898,2.82644,2.42536,2.42319,0.000713,0.000713,0.000713
132,4222.02,1.67008,1.48457,1.45329,0.26218,0.32754,0.1749,0.04788,2.84561,2.52226,2.40583,0.0007031,0.0007031,0.0007031
133,4251.88,1.68977,1.51894,1.47718,0.26218,0.32754,0.1749,0.04788,2.84561,2.52226,2.40583,0.0006932,0.0006932,0.0006932
134,4281.93,1.63447,1.51811,1.43094,0.2401,0.29412,0.15468,0.04555,2.86192,2.55736,2.45108,0.0006833,0.0006833,0.0006833
135,4310.48,1.57371,1.39162,1.42897,0.34068,0.25333,0.16412,0.04612,2.90031,2.55425,2.45591,0.0006734,0.0006734,0.0006734
136,4338.57,1.61006,1.49098,1.4454,0.34068,0.25333,0.16412,0.04612,2.90031,2.55425,2.45591,0.0006635,0.0006635,0.0006635
137,4366.94,1.64612,1.4072,1.42983,0.28801,0.2549,0.14432,0.03834,2.86276,2.56036,2.41088,0.0006536,0.0006536,0.0006536
138,4396.18,1.60926,1.42773,1.39538,0.28801,0.2549,0.14432,0.03834,2.86276,2.56036,2.41088,0.0006437,0.0006437,0.0006437
139,4427.1,1.56558,1.46398,1.36932,0.32982,0.29412,0.16789,0.03947,2.85437,2.59029,2.40506,0.0006338,0.0006338,0.0006338
140,4456.42,1.67176,1.51037,1.45499,0.41741,0.21569,0.19561,0.04643,2.95916,2.6145,2.48358,0.0006239,0.0006239,0.0006239
141,4486.68,1.68339,1.47507,1.45368,0.41741,0.21569,0.19561,0.04643,2.95916,2.6145,2.48358,0.000614,0.000614,0.000614
142,4517.59,1.65775,1.50646,1.45903,0.42466,0.21569,0.18259,0.04133,3.02696,2.48238,2.60361,0.0006041,0.0006041,0.0006041
143,4549.06,1.60492,1.4299,1.42616,0.27949,0.2549,0.17879,0.034,2.96271,2.58168,2.59136,0.0005942,0.0005942,0.0005942
144,4579.07,1.5056,1.37718,1.33815,0.27949,0.2549,0.17879,0.034,2.96271,2.58168,2.59136,0.0005843,0.0005843,0.0005843
145,4610.22,1.56976,1.48216,1.42621,0.26827,0.21569,0.16605,0.04237,2.918,2.625,2.58545,0.0005744,0.0005744,0.0005744
146,4640.65,1.50992,1.34128,1.34748,0.26827,0.21569,0.16605,0.04237,2.918,2.625,2.58545,0.0005645,0.0005645,0.0005645
147,4670.35,1.6241,1.38806,1.42596,0.25527,0.27451,0.1669,0.04162,2.82846,2.64233,2.45114,0.0005546,0.0005546,0.0005546
148,4698.07,1.56213,1.34832,1.3643,0.16177,0.37464,0.16371,0.03994,2.78768,2.65363,2.3808,0.0005447,0.0005447,0.0005447
149,4725.14,1.54022,1.34627,1.35005,0.16177,0.37464,0.16371,0.03994,2.78768,2.65363,2.3808,0.0005348,0.0005348,0.0005348
150,4752.8,1.56938,1.42792,1.43911,0.42427,0.15686,0.15509,0.03807,2.77788,2.72859,2.34723,0.0005249,0.0005249,0.0005249
151,4782.05,1.59081,1.37582,1.37877,0.21568,0.21569,0.14916,0.03769,2.79858,2.67048,2.36353,0.000515,0.000515,0.000515
152,4809.14,1.63615,1.51236,1.42204,0.21568,0.21569,0.14916,0.03769,2.79858,2.67048,2.36353,0.0005051,0.0005051,0.0005051
153,4837.3,1.59534,1.38636,1.38892,0.30985,0.27451,0.16222,0.03788,2.90221,2.6472,2.43296,0.0004952,0.0004952,0.0004952
154,4868.23,1.5196,1.39702,1.38345,0.30985,0.27451,0.16222,0.03788,2.90221,2.6472,2.43296,0.0004853,0.0004853,0.0004853
155,4898.28,1.60602,1.39827,1.42005,0.25875,0.2465,0.15445,0.04185,2.89998,2.62357,2.45559,0.0004754,0.0004754,0.0004754
156,4926.55,1.61568,1.33956,1.37267,0.35561,0.21644,0.16588,0.04698,2.94123,2.57983,2.50492,0.0004655,0.0004655,0.0004655
157,4954.35,1.57889,1.47301,1.42299,0.35561,0.21644,0.16588,0.04698,2.94123,2.57983,2.50492,0.0004556,0.0004556,0.0004556
158,4985.57,1.50564,1.36845,1.39735,0.24124,0.31373,0.16889,0.0455,2.90768,2.50957,2.46464,0.0004457,0.0004457,0.0004457
159,5016.52,1.50027,1.32625,1.3311,0.43991,0.19608,0.16915,0.04612,2.87549,2.41246,2.45895,0.0004358,0.0004358,0.0004358
160,5047.41,1.43315,1.23531,1.28888,0.43991,0.19608,0.16915,0.04612,2.87549,2.41246,2.45895,0.0004259,0.0004259,0.0004259
161,5077.79,1.48437,1.34226,1.38933,0.37609,0.21569,0.16546,0.04276,2.84645,2.37406,2.43185,0.000416,0.000416,0.000416
162,5107.12,1.50791,1.42275,1.3913,0.37609,0.21569,0.16546,0.04276,2.84645,2.37406,2.43185,0.0004061,0.0004061,0.0004061
163,5136.72,1.39477,1.21488,1.31781,0.33295,0.21569,0.16963,0.04764,2.8745,2.40507,2.4274,0.0003962,0.0003962,0.0003962
164,5166.44,1.55954,1.29368,1.37247,0.29693,0.27451,0.1685,0.04891,2.85717,2.4365,2.43552,0.0003863,0.0003863,0.0003863
165,5196.68,1.38627,1.17947,1.25695,0.29693,0.27451,0.1685,0.04891,2.85717,2.4365,2.43552,0.0003764,0.0003764,0.0003764
